key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXbwd6lpcVuveqdRQAw6,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/person/PersonManager.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Long""; it is deprecated.",,51027d7bc4fda1298461119eb870b922,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,39,39,29,33,CODE_SMELL,apache
AXbwd6lpcVuveqdRQAw7,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/person/PersonManager.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Long""; it is deprecated.",,a2de79e56eb03bfe0ab06954d0f25757,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,48,48,19,23,CODE_SMELL,apache
AXbwd6gvcVuveqdRQAwp,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/token/TokenAction.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Integer""; it is deprecated.",,bbe33f4003f11bd92b6a5e0d6ed659b9,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,43,43,26,33,CODE_SMELL,apache
AXbwd6gvcVuveqdRQAwq,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/token/TokenAction.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Integer""; it is deprecated.",,f5e029184e30d08c698f8665de1f012b,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,44,44,24,31,CODE_SMELL,apache
AXbwd6gvcVuveqdRQAwr,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/token/TokenAction.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Integer""; it is deprecated.",,9d1acc7e443d19d01e7a00fc62146960,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,62,62,19,26,CODE_SMELL,apache
AXbwd6gvcVuveqdRQAws,apache_struts:apps/showcase/src/main/java/org/apache/struts2/showcase/token/TokenAction.java,apache_struts,java:S1874,CLOSED,FIXED,MINOR,"Remove this use of ""Integer""; it is deprecated.",,fe4c4bb8fea234422243fb563b293c8a,,15min,2021-01-11T08:57:39+0100,2021-01-23T18:25:45+0100,,68,68,17,24,CODE_SMELL,apache
AXbwd5L0cVuveqdRQAwa,apache_struts:core/src/main/java/com/opensymphony/xwork2/config/providers/XmlConfigurationProvider.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",215,2185806bafa845824a398e32a13ab451,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,215,215,99,110,CODE_SMELL,apache
AXbwd5VzcVuveqdRQAwg,apache_struts:core/src/main/java/com/opensymphony/xwork2/conversion/impl/DefaultTypeConverter.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Character""; it is deprecated.",60,68e011eb4dbfc4310041076e3178c7ad,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,60,60,36,45,CODE_SMELL,apache
AXbwd5VzcVuveqdRQAwh,apache_struts:core/src/main/java/com/opensymphony/xwork2/conversion/impl/DefaultTypeConverter.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Float""; it is deprecated.",63,ad093bde0b64981d26c56a3a78acec77,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,63,63,32,37,CODE_SMELL,apache
AXbwd5VzcVuveqdRQAwi,apache_struts:core/src/main/java/com/opensymphony/xwork2/conversion/impl/DefaultTypeConverter.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",64,1a9372acc7667c9f1f3e5699cf7a2041,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,64,64,33,39,CODE_SMELL,apache
